City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
382,Dunedin,-45.8742,170.5036,59.0,78,40,10.0,NZ,2021-04-21 05:38:44,scattered clouds
383,Novyy Buh,47.6931,32.5216,46.4,81,0,4.47,UA,2021-04-21 05:38:45,clear sky
384,Bella Union,-30.2752,-57.6007,63.73,64,0,13.73,UY,2021-04-21 05:38:46,clear sky
385,Nabire,-3.3667,135.4833,84.52,71,100,4.9,ID,2021-04-21 05:38:46,overcast clouds
386,Tessalit,20.1986,1.0114,75.33,9,52,5.93,ML,2021-04-21 05:38:47,broken clouds
387,Middle Island,40.8843,-72.9373,54.0,76,1,12.66,US,2021-04-21 05:38:47,clear sky
388,North Bend,43.4065,-124.2243,50.0,93,90,4.61,US,2021-04-21 05:38:48,overcast clouds
389,Masallatah,32.6167,14.0,59.52,46,47,21.0,LY,2021-04-21 05:38:48,scattered clouds
390,Ust-Tsilma,65.441,52.1498,47.14,53,49,6.26,RU,2021-04-21 05:38:49,scattered clouds
391,Moron,-34.6534,-58.6198,66.99,89,0,8.01,AR,2021-04-21 05:38:49,clear sky
392,Nesebar,42.7833,27.7333,53.01,87,6,4.61,BG,2021-04-21 05:38:50,clear sky
393,Yuli,9.6989,10.2744,83.7,58,95,6.51,NG,2021-04-21 05:38:51,overcast clouds
394,Najran,17.4924,44.1277,77.0,16,0,2.3,SA,2021-04-21 05:38:51,clear sky
395,Takoradi,4.8845,-1.7554,79.72,83,99,5.08,GH,2021-04-21 05:38:52,overcast clouds
396,Maceio,-9.6658,-35.7353,75.2,94,0,4.61,BR,2021-04-21 05:38:52,clear sky
397,Untsukul,42.7115,46.7866,67.28,52,100,3.09,RU,2021-04-21 05:38:53,overcast clouds
398,Toora-Khem,52.4675,96.11,32.65,39,21,2.77,RU,2021-04-21 05:38:54,few clouds
399,Bako,5.7833,36.5667,75.29,51,89,1.07,ET,2021-04-21 05:38:54,overcast clouds
400,Norfolk,42.1668,-71.2495,52.0,62,50,12.66,US,2021-04-21 05:38:55,scattered clouds
401,Bridlington,54.0831,-0.1919,45.0,82,99,7.0,GB,2021-04-21 05:38:55,overcast clouds
402,Rio Gallegos,-51.6226,-69.2181,44.6,76,0,14.97,AR,2021-04-21 05:38:56,clear sky
403,Broome,42.2506,-75.833,39.99,80,90,8.05,US,2021-04-21 05:38:56,overcast clouds
404,Wuhu,31.3366,118.3755,64.4,100,40,8.95,CN,2021-04-21 05:38:57,light rain
405,Portland,45.5234,-122.6762,62.6,48,20,5.75,US,2021-04-21 05:35:31,few clouds
406,Great Bend,38.3645,-98.7648,33.01,86,1,8.05,US,2021-04-21 05:38:58,clear sky
407,Goderich,43.7501,-81.7165,32.0,69,100,9.22,CA,2021-04-21 05:38:58,overcast clouds
408,Sattahip,12.6664,100.9007,91.4,62,20,9.22,TH,2021-04-21 05:34:16,few clouds
409,Bubaque,11.2833,-15.8333,77.5,67,19,10.92,GW,2021-04-21 05:38:59,few clouds
410,College,64.8569,-147.8028,41.0,30,20,5.75,US,2021-04-21 05:38:59,few clouds
411,Peniche,39.3558,-9.3811,57.0,88,100,3.0,PT,2021-04-21 05:39:00,light rain
412,Umm Lajj,25.0213,37.2685,83.08,55,71,4.41,SA,2021-04-21 05:39:00,broken clouds
413,Juneau,58.3019,-134.4197,46.4,71,75,5.75,US,2021-04-21 05:37:04,light rain
414,Maniwaki,46.3834,-75.966,26.6,68,98,8.05,CA,2021-04-21 05:39:01,overcast clouds
415,Dakar,14.6937,-17.4441,68.0,94,75,16.11,SN,2021-04-21 05:37:26,broken clouds
