City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
319,Batticaloa,LK,85.73,overcast clouds,7.7102,81.6924,Grand Star Guest House
323,Makakilo City,US,78.8,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
337,Black River,JM,78.8,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
341,Madang,PG,85.64,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
343,Ganzhou,CN,79.18,broken clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
345,Coolum Beach,AU,84.99,clear sky,-26.5333,153.1,Palmer Coolum Resort
349,Kutum,SD,81.9,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
350,Hasaki,JP,79.0,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
354,Baherden,TM,76.64,overcast clouds,38.4362,57.4316,
355,Angoram,PG,85.87,overcast clouds,-4.0625,144.0661,
357,Hambantota,LK,89.6,scattered clouds,6.1241,81.1185,Bungalow 63
373,San Jose De Rio Tinto,HN,78.8,scattered clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
374,Kathu,TH,87.8,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
375,Mahebourg,MU,82.4,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
376,Marsh Harbour,BS,77.4,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
377,Olinda,BR,75.2,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
378,Taoudenni,ML,79.59,few clouds,22.6783,-3.9836,
380,Basco,PH,77.14,light rain,20.4487,121.9702,Nathaniel's Lodge
381,Bengkulu,ID,83.08,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
385,Nabire,ID,84.52,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
386,Tessalit,ML,75.33,broken clouds,20.1986,1.0114,
393,Yuli,NG,83.7,overcast clouds,9.6989,10.2744,
394,Najran,SA,77.0,clear sky,17.4924,44.1277,محمد هادي ال فطيح
395,Takoradi,GH,79.72,overcast clouds,4.8845,-1.7554,Raybow International Hotel
396,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Poutur Pousada
399,Bako,ET,75.29,overcast clouds,5.7833,36.5667,Goh Hotel
409,Bubaque,GW,77.5,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
412,Umm Lajj,SA,83.08,broken clouds,25.0213,37.2685,Moon light Furnished Units
416,Baoning,CN,75.2,overcast clouds,25.3378,110.02600000000001,
421,Bowen,AU,80.6,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
430,Gorom-Gorom,BF,83.71,broken clouds,14.4439,-0.2361,
435,Bosaso,SO,84.2,clear sky,11.2842,49.1816,Red Sea Hotel
442,Yeppoon,AU,80.6,overcast clouds,-23.1333,150.7333,Villa Mar Colina
443,Siguiri,GN,83.75,scattered clouds,11.6667,-9.5,
445,Tabou,CI,80.11,scattered clouds,4.423,-7.3528,hotêl doufoulougou
450,Tutoia,BR,75.25,overcast clouds,-2.7619,-42.2744,Pousada Guará's
453,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
458,Cabedelo,BR,75.2,broken clouds,-6.9811,-34.8339,Hotel Pigalle
460,Angoche,MZ,75.65,broken clouds,-16.2325,39.9086,Guest House HESADA
461,Wamba,NG,78.33,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
464,Monrovia,LR,77.0,light rain,6.3005,-10.7969,Sunset Inn
467,Sinnamary,GF,76.5,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
469,Sola,VU,82.67,scattered clouds,-13.8833,167.55,Leumerus Bungalows
471,Anloga,GH,82.4,scattered clouds,5.7947,0.8973,Pin Drop Hotel
